Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000000589	Mus musculus	10090	54825		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
UP000002494	Rattus norvegicus	10116	51867		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	Rattus norvegicus
UP000005640	Homo sapiens	9606	83526		Unknown	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
UP000009136	Bos taurus	9913	51509		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus
UP000000437	Danio rerio	7955	86691		Unknown	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio
UP001314169	Pipistrellus nathusii	59473	18936		Unknown	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus nathusii
UP000326062	Muntiacus reevesi	9886	25423		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus reevesi
UP000000539	Gallus gallus	9031	43712		Unknown	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus
UP000001073	Nomascus leucogenys	61853	40414		Unknown	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
UP000001074	Myotis lucifugus	59463	20651		Unknown	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis lucifugus
UP000001519	Gorilla gorilla gorilla	9595	44723		Unknown	Metazoa	Chordata	Mammalia	Primates	Hominidae	Gorilla	Gorilla gorilla
UP000001595	Pongo abelii	9601	39476		Unknown	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
UP000001811	Oryctolagus cuniculus	9986	41468		Unknown	Metazoa	Chordata	Mammalia	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus cuniculus
UP000002277	Pan troglodytes	9598	48769		Unknown	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
UP000002279	Ornithorhynchus anatinus	9258	32824		Unknown	Metazoa	Chordata	Mammalia	Monotremata	Ornithorhynchidae	Ornithorhynchus	Ornithorhynchus anatinus
UP000005215	Ictidomys tridecemlineatus	43179	25333		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Sciuridae	Ictidomys	Ictidomys tridecemlineatus
UP000005225	Otolemur garnettii	30611	19931		Unknown	Metazoa	Chordata	Mammalia	Primates	Galagidae	Otolemur	Otolemur garnettii
UP000005447	Cavia porcellus	10141	25048		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus
UP000007267	Pelodiscus sinensis	13735	20509		Unknown	Metazoa	Chordata		Testudines	Trionychidae	Pelodiscus	Pelodiscus sinensis
UP000007646	Loxodonta africana	9785	25615		Unknown	Metazoa	Chordata	Mammalia	Proboscidea	Elephantidae	Loxodonta	Loxodonta africana
UP000007648	Sarcophilus harrisii	9305	36299		Unknown	Metazoa	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus	Sarcophilus harrisii
UP000007754	Taeniopygia guttata	59729	31341		Unknown	Metazoa	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	Taeniopygia guttata
UP000008225	Callithrix jacchus	9483	48338		Unknown	Metazoa	Chordata	Mammalia	Primates	Cebidae	Callithrix	Callithrix jacchus
UP000008227	Sus scrofa	9823	46010		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
UP000008912	Ailuropoda melanoleuca	9646	38536		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca
UP000016665	Ficedula albicollis	59894	28852		Unknown	Metazoa	Chordata	Aves	Passeriformes	Muscicapidae	Ficedula	Ficedula albicollis
UP000028761	Papio anubis	9555	43406		Unknown	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
UP000029965	Chlorocebus sabaeus	60711	19229		Unknown	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
UP000053149	Pterocles gutturalis	240206	11309		Unknown	Metazoa	Chordata	Aves	Pterocliformes	Pteroclidae	Pterocles	Pterocles gutturalis
UP000233020	Aotus nancymaae	37293	41725		Unknown	Metazoa	Chordata	Mammalia	Primates	Aotidae	Aotus	Aotus nancymaae
UP000233040	Cebus imitator	2715852	40117		Unknown	Metazoa	Chordata	Mammalia	Primates	Cebidae	Cebus	Cebus imitator
UP000233060	Cercocebus atys	9531	45022		Unknown	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
UP000233100	Macaca fascicularis	9541	50204		Unknown	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
UP000233120	Macaca nemestrina	9545	45001		Unknown	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
UP000233140	Mandrillus leucophaeus	9568	40661		Unknown	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	Mandrillus leucophaeus
UP000233160	Propithecus coquereli	379532	32113		Unknown	Metazoa	Chordata	Mammalia	Primates	Indriidae	Propithecus	Propithecus coquereli
UP000233220	Saimiri boliviensis boliviensis	39432	39640		Unknown	Metazoa	Chordata	Mammalia	Primates	Cebidae	Saimiri	Saimiri boliviensis
UP000240080	Pan paniscus	9597	42996		Unknown	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan paniscus
UP000291000	Capra hircus	9925	32606		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	Capra hircus
UP000295070	Perca flavescens	8167	21644		Unknown	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Perca	Perca flavescens
UP000314987	Vombatus ursinus	29139	31139		Unknown	Metazoa	Chordata	Mammalia	Diprotodontia	Vombatidae	Vombatus	Vombatus ursinus
UP000472240	Rhinolophus ferrumequinum	59479	33505		Unknown	Metazoa	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus ferrumequinum
UP000472266	Strigops habroptila	2489341	24356		Unknown	Metazoa	Chordata	Aves	Psittaciformes	Psittacidae	Strigops	Strigops habroptila
UP000472273	Pseudonaja textilis	8673	27546		Unknown	Metazoa	Chordata	Lepidosauria	Squamata	Elapidae	Pseudonaja	Pseudonaja textilis
UP000472275	Aquila chrysaetos chrysaetos	223781	24817		Unknown	Metazoa	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila chrysaetos
UP000516260	Takifugu bimaculatus	433685	19991		Unknown	Metazoa	Chordata	Actinopteri	Tetraodontiformes	Tetraodontidae	Takifugu	Takifugu bimaculatus
UP000594220	Crocodylus porosus	8502	27142		Unknown	Metazoa	Chordata		Crocodylia	Crocodylidae	Crocodylus	Crocodylus porosus
UP000675900	Panthera tigris altaica	74533	26484		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris
UP000694381	Nannospalax galili	1026970	26759		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Spalacidae	Nannospalax	Nannospalax galili
UP000694385	Jaculus jaculus	51337	25129		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Dipodidae	Jaculus	Jaculus jaculus
UP000694390	Gopherus evgoodei	1825980	30199		Unknown	Metazoa	Chordata		Testudines	Testudinidae	Gopherus	Gopherus evgoodei
UP000694391	Canis lupus dingo	286419	33928		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus
UP000694394	Microcebus murinus	30608	36769		Unknown	Metazoa	Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	Microcebus murinus
UP000694398	Chinchilla lanigera	34839	25185		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Chinchillidae	Chinchilla	Chinchilla lanigera
UP000694399	Panthera leo	9689	31097		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera leo
UP000694407	Marmota marmota marmota	9994	27309		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Sciuridae	Marmota	Marmota marmota
UP000694409	Serinus canaria	9135	23421		Unknown	Metazoa	Chordata	Aves	Passeriformes	Fringillidae	Serinus	Serinus canaria
UP000694412	Coturnix japonica	93934	27309		Unknown	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Coturnix	Coturnix japonica
UP000694414	Prolemur simus	1328070	37838		Unknown	Metazoa	Chordata	Mammalia	Primates	Lemuridae	Prolemur	Prolemur simus
UP000694417	Urocitellus parryii	9999	29187		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus	Urocitellus parryii
UP000694425	Neovison vison	452646	31301		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Mustelidae	Neogale	Neovison vison
UP000694426	Anser brachyrhynchus	132585	26558		Unknown	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser brachyrhynchus
UP000694540	Catagonus wagneri	51154	29374		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Tayassuidae	Catagonus	Catagonus wagneri
UP000694544	Moschus moschiferus	68415	32989		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Moschidae	Moschus	Moschus moschiferus
UP000694547	Peromyscus maniculatus bairdii	230844	28057		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Peromyscus	Peromyscus maniculatus
UP000694554	Phocoena sinus	42100	31318		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena sinus
UP000694561	Monodon monoceros	40151	30226		Unknown	Metazoa	Chordata	Mammalia	Artiodactyla	Monodontidae	Monodon	Monodon monoceros
UP000694564	Sciurus vulgaris	55149	33006		Unknown	Metazoa	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus vulgaris
UP000805418	Canis lupus familiaris	9615	43619		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus
UP001044222	Anguilla anguilla	7936	28122		Unknown	Metazoa	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
UP000000715	Mustela putorius furo	9669	46273		Unknown	Metazoa	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius
UP000001038	Oryzias latipes	8090	36128		Unknown	Metazoa	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes
UP000001307	Oikopleura dioica	34765	17050		Unknown	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	Oikopleura dioica
UP000001554	Branchiostoma floridae	7739	38650		Unknown	Metazoa	Chordata	Leptocardii	Amphioxiformes	Branchiostomatidae	Branchiostoma	Branchiostoma floridae
UP000001645	Meleagris gallopavo	9103	28235		Unknown	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Meleagris	Meleagris gallopavo
