Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage	Genome assembly ID	Taxon mnemonic	Components	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000000278	Dugbe virus (isolate ArD44313) (DUGV)	766194	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Dugbe virus	GCA_000850985.1	DUGBA	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Dugbe virus
UP000000353	Equine arteritis virus (strain Bucyrus) (EAV)	299386	9		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Arteriviridae, Equarterivirinae, Alphaarterivirus, Alphaarterivirus equid, Equine arteritis virus	GCA_000860865.1	EAVBU	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	Alphaarterivirus	Alphaarterivirus equid
UP000000354	Severe acute respiratory syndrome coronavirus (SARS-CoV)	694009	15		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Sarbecovirus, Betacoronavirus pandemicum	GCA_000864885.1	SARS	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Betacoronavirus pandemicum
UP000000355	Breda virus 1 (BRV-1)	360393	6		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Tornidovirineae, Tobaniviridae, Torovirinae, Torovirus, Renitovirus, Torovirus bovis, Bovine torovirus, Breda virus	GCA_000865145.1	BRV1	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Tobaniviridae	Torovirus	Torovirus bovis
UP000000356	Poliovirus type 1 (strain Mahoney)	12081	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, Enterovirus, Enterovirus C, Poliovirus 1	GCA_000861165.1	POL1M	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus C
UP000000357	Avian encephalomyelitis virus (strain Calnek vaccine) (AEV)	475778	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Heptrevirinae, Tremovirus, Tremovirus A	GCA_000863245.1	AEVCA	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Tremovirus	Tremovirus A
UP000000360	Yellow fever virus (strain 17D vaccine) (YFV)	11090	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus flavi, Yellow fever virus	GCA_000857725.1	YEFV1	Segment	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus	Orthoflavivirus flavi
UP000000400	Maize rayado fino virus (isolate Costa Rica/Guapiles) (MRFV)	652669	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Marafivirus, Marafivirus maydis, Maize rayado fino virus	GCA_000862485.2	MRFVC	Segment	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Tymoviridae	Marafivirus	Marafivirus maydis
UP000000401	Turnip yellow mosaic virus	12154	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Tymovirus, Tymovirus brassicae	GCA_000862065.1	TYMV	Genome	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Tymoviridae	Tymovirus	Tymovirus brassicae
UP000000407	Porcine sapelovirus (strain V13) (PSV) (Porcine enterovirus 8)	1002921	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, Sapelovirus, Sapelovirus anglia, Sapelovirus A	GCA_000863425.1	PSV13	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Sapelovirus	Sapelovirus anglia
UP000000409	Broad bean wilt virus 1 (strain Spinach/United States/ATCC PV-132/1963) (BBWV-1)	649895	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Fabavirus, Fabavirus alphaviciae, Broad bean wilt virus 1	GCA_000853465.1	BBWVS	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Fabavirus	Fabavirus alphaviciae
UP000000413	Rabbit hemorrhagic disease virus (strain Rabbit/Germany/FRG/1989) (Ra/LV/RHDV/GH/1989/GE) (RHDV-FRG)	314536	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Lagovirus, Lagovirus europaeus, Rabbit hemorrhagic disease virus	GCA_000861285.1	RHDVF	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Lagovirus	Lagovirus europaeus
UP000000471	Peanut mottle virus (strain M)	103926	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus arachidis, Peanut mottle virus	GCA_000860725.1	PEMVM	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus arachidis
UP000000515	Drosophila x virus (isolate Chung/1996) (DXV)	654931	3		Unknown	Viruses, Riboviria, Orthornavirae, Birnaviridae, Entomobirnavirus, Entomobirnavirus drosophilae, Drosophila x virus	GCA_000851665.1	DXV96	Genome	Orthornavirae				Birnaviridae	Entomobirnavirus	Entomobirnavirus drosophilae
UP000000518	Hepatitis C virus genotype 1a (isolate H77) (HCV)	63746	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus hominis, hepatitis C virus genotype 1a	GCA_000861845.1	HCV77	Segment	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Hepacivirus	Hepacivirus hominis
UP000000520	Potato virus Y (strain N) (PVY)	12219	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus yituberosi, Potato virus Y	GCA_000862905.1	PVYN	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus yituberosi
UP000000521	Brome streak virus (strain 11-Cal) (BStV) (Brome streak mosaic rymovirus)	117138	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Tritimovirus, Tritimovirus bromi, Brome streak mosaic virus	GCA_000860645.1	BSTV1	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Tritimovirus	Tritimovirus bromi
UP000000522	Tobacco mosaic virus (strain vulgare) (TMV) (Tobacco mosaic virus (strain U1))	12243	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Virgaviridae, Tobamovirus, Tobamovirus tabaci, Tobacco mosaic virus	GCA_000854365.1	TMV	Segment	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus tabaci
UP000000568	Ryegrass mosaic virus (isolate Denmark/Danish) (RGMV)	652106	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Rymovirus, Rymovirus lolii, Ryegrass mosaic virus	GCA_000860685.1	RGMVD	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Rymovirus	Rymovirus lolii
UP000000569	Chikungunya virus (strain S27-African prototype) (CHIKV)	371094	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus chikungunya, Chikungunya virus	GCA_000854045.1	CHIKS	Segment	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Alphavirus chikungunya
UP000000570	Semliki forest virus (SFV)	11033	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus semliki	GCA_000860285.1	SFV	Genome	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Alphavirus semliki
UP000000571	Rubella virus (strain Therien) (RUBV)	11045	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Hepelivirales, Matonaviridae, Rubivirus, Rubivirus rubellae, Rubella virus	GCA_000863025.1	RUBVT	Segment	Orthornavirae	Kitrinoviricota	Alsuviricetes	Hepelivirales	Matonaviridae	Rubivirus	Rubivirus rubellae
UP000000670	Human parechovirus 2 (strain Williamson) (HPeV-2) (Echovirus 23)	122962	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Parechovirus, Parechovirus A, Human parechovirus 2	GCA_000861505.1	HPE2W	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
UP000000672	Seneca Valley virus (isolate -/United States/SSV-001/2002) (SVV)	686944	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Senecavirus, Senecavirus valles	GCA_000881615.1	SVV1	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Senecavirus	Senecavirus valles
UP000000680	White bream virus (isolate Blicca bjoerkna L./Germany/DF24/00) (WBV)	766180	5		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Tornidovirineae, Tobaniviridae, Piscanivirinae, Bafinivirus, Blicbavirus, Bafinivirus bliccae, White bream virus	GCA_000867725.1	WBV24	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Tobaniviridae	Bafinivirus	Bafinivirus bliccae
UP000000826	Norovirus (strain Human/NoV/United States/Norwalk/1968/GI) (Hu/NV/NV/1968/US)	524364	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Norovirus, Norovirus norwalkense, Norwalk virus, Norovirus isolates	GCA_000864005.1	NVN68	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norovirus norwalkense
UP000001061	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1)	11927	9		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Deltaretrovirus priTlym1, Primate T-lymphotropic virus 1, Human T-cell leukemia virus type I, HTLV-1 subtype A	GCA_000863585.1	HTL1C	Segment	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Deltaretrovirus	Deltaretrovirus priTlym1
UP000001063	Simian foamy virus (isolate chimpanzee) (SFVcpz)	298339	5		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, Spumavirus, Simian foamy virus	GCA_000848485.1	SFVCP	Segment	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Spumavirus	Simian foamy virus
UP000001098	Feline calicivirus (strain Cat/United States/Urbana/1960) (FCV)	292349	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Vesivirus, Vesivirus felis, Feline calicivirus	GCA_000853345.1	FCVUR	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Vesivirus	Vesivirus felis
UP000001440	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	11151	9		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Alphacoronavirus, Tegacovirus, Alphacoronavirus 1, Transmissible gastroenteritis virus	GCA_002985995.1	CVPPU	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Alphacoronavirus 1
UP000001650	Human astrovirus-1 (HAstV-1)	12456	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus hominis, Mamastrovirus 1	GCA_000861865.1	HASV1	Genome	Orthornavirae	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus hominis
UP000001667	Barley stripe mosaic virus (BSMV)	12327	7		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Virgaviridae, Hordeivirus, Hordeivirus hordei	GCA_000855725.1	BSMV	Genome	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Hordeivirus	Hordeivirus hordei
UP000002101	Spiroplasma virus 4 (SpV4)	2928746	9		Unknown	Viruses, Monodnaviria, Sangervirae, Phixviricota, Malgrandaviricetes, Petitvirales, Microviridae, Gokushovirinae, Spiromicrovirus, Spiromicrovirus SpV4	GCA_000839985.1	SPV4	Genome	Sangervirae	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Spiromicrovirus	Spiromicrovirus SpV4
UP000002238	Avian leukosis virus subgroup A (isolate RSA) (ALV-A RSA)	363745	4		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Alpharetrovirus, Alpharetrovirus avileu, Avian leukosis virus	GCA_000849845.1	ALVA	Genome	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus	Alpharetrovirus avileu
