Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000000625	Escherichia coli (strain K12)	83333	4402	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%,n:440	Close to standard (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
UP000001570	Bacillus subtilis (strain 168)	224308	4288	C:99.3%[S:99.1%,D:0.2%],F:0.2%,M:0.4%,n:450	Standard	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
UP000281647	Borborobacter arsenicus	1851146	4868	C:100.0%[S:99.7%,D:0.3%],F:0.0%,M:0.0%,n:639	Outlier (low value)	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Borborobacter	
UP000003511	Candidatus Paraburkholderia kirkii UZHbot1	1055526	2014	C:90.4%[S:90.3%,D:0.1%],F:0.7%,M:8.9%,n:688	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Candidatus Paraburkholderia kirkii
UP000000416	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	198804	562	C:83.4%[S:83.2%,D:0.2%],F:1.6%,M:15.0%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000000504	Moranella endobia (strain PCIT)	903503	405	C:66.1%[S:65.7%,D:0.5%],F:0.7%,M:33.2%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Moranella	Candidatus Moranella endobia
UP000000562	Wigglesworthia glossinidia brevipalpis	36870	617	C:78.0%[S:77.7%,D:0.2%],F:1.4%,M:20.7%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia
UP000000579	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	1703	C:94.2%[S:93.6%,D:0.5%],F:0.9%,M:4.9%,n:1100	Standard	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
UP000000601	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	224915	507	C:81.8%[S:81.6%,D:0.2%],F:0.7%,M:17.5%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000000669	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	372461	362	C:61.8%[S:61.8%,D:0.0%],F:1.6%,M:36.6%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000000807	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	243273	483	C:98.0%[S:98.0%,D:0.0%],F:0.7%,M:1.3%,n:150	Outlier (low value)	Bacillati	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides genitalium
